polica_sifra,polica_naziv,tip
B63,Magacin,SHELF
B64,Magacin,SHELF
B65,Magacin,SHELF
B66,Magacin,SHELF
B67,Magacin,SHELF
B68,Magacin,SHELF
B69,Magacin,SHELF
B7,Magacin,SHELF
B7,Proizvodnja,SHELF
B7,Magacin,SHELF
B70,Magacin,SHELF
B71,Magacin,SHELF
B72,Magacin,SHELF
B73,Magacin,SHELF
B74,Magacin,SHELF
B75,Magacin,SHELF
B76,Magacin,SHELF
B77,Magacin,SHELF
B78,Magacin,SHELF
B79,Magacin,SHELF
B8,Magacin,SHELF
B8,Magacin,SHELF
B8,Proizvodnja,SHELF
B80,Magacin,SHELF
B9,Magacin,SHELF
B9,Proizvodnja,SHELF
B9,Magacin,SHELF
C1,Magacin,SHELF
C1,Proizvodnja,SHELF
C1,Proizvodnja,SHELF
C1,Magacin,SHELF
C10,Magacin,SHELF
C10,Proizvodnja,SHELF
C10,Magacin,SHELF
C11,Proizvodnja,SHELF
C11,Magacin,SHELF
C11,Magacin,SHELF
C12,Magacin,SHELF
C12,Proizvodnja,SHELF
C12,Magacin,SHELF
C13,Magacin,SHELF
C13,Proizvodnja,SHELF
C13,Magacin,SHELF
C14,Proizvodnja,SHELF
C14,Magacin,SHELF
C14,Magacin,SHELF
C15,Proizvodnja,SHELF
C15,Magacin,SHELF
C15,Magacin,SHELF
C16,Magacin,SHELF
C16,Magacin,SHELF
C16,Proizvodnja,SHELF
C17,Magacin,SHELF
C17,Proizvodnja,SHELF
C17,Magacin,SHELF
C18,Magacin,SHELF
C18,Magacin,SHELF
C18,Proizvodnja,SHELF
C19,Magacin,SHELF
C19,Proizvodnja,SHELF
C19,Magacin,SHELF
C2,Magacin,SHELF
C2,Magacin,SHELF
C2,Proizvodnja,SHELF
C2,Proizvodnja,SHELF
C20,Magacin,SHELF
C20,Magacin,SHELF
C20,Proizvodnja,SHELF
C21,Proizvodnja,SHELF
C21,Magacin,SHELF
C21,Magacin,SHELF
C22,Magacin,SHELF
C22,Proizvodnja,SHELF
C22,Magacin,SHELF
C23,Magacin,SHELF
C23,Proizvodnja,SHELF
C23,Magacin,SHELF
C24,Magacin,SHELF
C24,Proizvodnja,SHELF
C24,Magacin,SHELF
C25,Magacin,SHELF
C25,Proizvodnja,SHELF
C25,Magacin,SHELF
C26,Magacin,SHELF
C26,Proizvodnja,SHELF
C26,Magacin,SHELF
C27,Proizvodnja,SHELF
C27,Magacin,SHELF
C27,Magacin,SHELF
C28,Magacin,SHELF
C28,Proizvodnja,SHELF
C28,Magacin,SHELF
C29,Magacin,SHELF
C29,Proizvodnja,SHELF
C29,Magacin,SHELF
C3,Magacin,SHELF
C3,Proizvodnja,SHELF
C3,Proizvodnja,SHELF
C3,Magacin,SHELF
C30,Proizvodnja,SHELF
C30,Magacin,SHELF
C30,Magacin,SHELF
C31,Magacin,SHELF
C31,Magacin,SHELF
C32,Magacin,SHELF
C32,Magacin,SHELF
C33,Magacin,SHELF
C33,Magacin,SHELF
C34,Magacin,SHELF
C34,Magacin,SHELF
C35,Magacin,SHELF
C35,Magacin,SHELF
C36,Magacin,SHELF
C36,Magacin,SHELF
C37,Magacin,SHELF
C37,Magacin,SHELF
